producer,artifact,consumer,effect,phase
data/processed/splits.csv,canonical partitions and cv_fold,fashion.data.torch,Changing membership or folds invalidates every comparable run.,inputs
data/processed/label_maps.json,"Fall, Spring, Summer, Winter class order",fashion.data.torch,"Changing class indices invalidates models, metrics, and predictions.",inputs
fashion.data.torch,fold-fitted tensors and loaders,Task 2 runner,Transform changes create a new implementation and transform hash.,training
configs/task2/*.json,immutable experiment choices,Task 2 runner,A changed scientific choice creates a new config hash and run.,training
fashion.models.season,scratch logits and feature maps,Task 2 runner,Architecture changes invalidate checkpoints and OOF evidence.,training
fashion.train.engine,"best checkpoint, OOF predictions, and history",Task 2 runner,Optimisation changes invalidate the implementation hash.,training
Task 2 runner,run lifecycle and provenance row,results/runs.csv,"Every physical run is retained as completed, failed, or interrupted.",artifacts
Task 2 runner,"checkpoint, OOF, and history files",tmp/task2 artifacts,Bytes are reused only when their declared SHA-256 values match.,artifacts
results/runs.csv,"run IDs, hashes, metrics, and status",results/evidence/task2,Registry changes rebuild evidence but do not alter trained weights.,evidence
tmp/task2 artifacts,verified OOF and histories,results/evidence/task2,Only hash-verified outputs may support a measured claim.,evidence
results/evidence/task2,"tables, figures, run IDs, and limitations",Notebook 03,Notebook claims must trace to measured run IDs.,narrative
results/evidence/task2,"selected tables, figures, and limitations",Task 2 report,"Report text changes interpretation only, never model bytes.",narrative
Notebook 03,predeclared scorecard decision,selection_freeze.json,The selected run and rules become immutable before holdout access.,freeze
selection_freeze.json,"winner config, hashes, and median epoch rule",Development refit,Refit must reproduce the frozen method on all valid development rows.,freeze
Development refit,task2_season.pt and manifest,Frozen Season bundle,"The manifest binds model bytes, labels, transform, and config by SHA-256.",bundle
Frozen Season bundle,immutable model plus manifest,Notebook 06 holdout,Holdout evaluates the bundle once and cannot tune it.,deployment
Frozen Season bundle,immutable model plus manifest,Prediction CLI,Official Season predictions must come from the frozen bytes.,deployment
Frozen Season bundle,immutable model plus manifest,Streamlit app,The app reports the same model/config hash as offline inference.,deployment
