artifact,path,expected_sha256,actual_sha256,status,role
ultimate_judgement_manifest,results/evidence/task2/ultimate_judgement/manifest.json,cd87705b94219bd07bebb720fb4bd3736b4442afe6f1316c046b4cd98c960ab0,cd87705b94219bd07bebb720fb4bd3736b4442afe6f1316c046b4cd98c960ab0,PASS,verified G7 winner and rejected alternatives
development_refit_manifest,models/task2_season.manifest.json,f4af02a73595380ca14a69b99b0e4f99ebb7479226e4fff4905b3d096f21c24f,f4af02a73595380ca14a69b99b0e4f99ebb7479226e4fff4905b3d096f21c24f,PASS,registry-bound G8 package contract
selection_freeze,results/evidence/task2/selection_freeze.json,51475a6e83c3e49e904633e1fa8a7e86bcc5e2f592c81f981561dac9f7cff995,51475a6e83c3e49e904633e1fa8a7e86bcc5e2f592c81f981561dac9f7cff995,PASS,immutable pre-holdout model decision
development_refit_bundle,models/task2_season.pt,e2511acc2b4e383790d4ba844bb368b1e4b7a40974614a8687a34724aad2566d,e2511acc2b4e383790d4ba844bb368b1e4b7a40974614a8687a34724aad2566d,PASS,scratch image-only model weights
development_refit_history,results/evidence/task2/development_refit/training_history.csv,b9f745260db04f7d28cad11c6a591869acd6ecb62b81e081a664cfcea2255978,b9f745260db04f7d28cad11c6a591869acd6ecb62b81e081a664cfcea2255978,PASS,24-epoch optimisation diagnostics
development_refit_runtime,results/evidence/task2/development_refit/runtime.json,661995c948a71eb077a16e865f5e600df829323d9c91b489378918e33f2e726d,661995c948a71eb077a16e865f5e600df829323d9c91b489378918e33f2e726d,PASS,training environment and cost provenance
canonical_splits,data/processed/splits.csv,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,PASS,only allowed data partition contract
canonical_label_maps,data/processed/label_maps.json,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,PASS,frozen Season class order
inference_source,src/fashion/task2/inference.py,9c323930b9d645e1984da74266316a1a878f066cc4837dff9b65b9b36e65f03f,9c323930b9d645e1984da74266316a1a878f066cc4837dff9b65b9b36e65f03f,PASS,verified image-only prediction interface
registry_binding,results/runs.csv,,,PASS,exact completed row for task2-season-i2-refit-fall-s2753-4ab5682a30e1
