artifact,path,expected_sha256,actual_sha256,status,role
ultimate_judgement_manifest,results/evidence/task2/ultimate_judgement/manifest.json,cd87705b94219bd07bebb720fb4bd3736b4442afe6f1316c046b4cd98c960ab0,cd87705b94219bd07bebb720fb4bd3736b4442afe6f1316c046b4cd98c960ab0,PASS,verified G7 winner and rejected alternatives
development_refit_manifest,models/task2_season.manifest.json,25d918061dbd9b46501de9aa3671adabf951649862ce9613317983dadbac55d9,25d918061dbd9b46501de9aa3671adabf951649862ce9613317983dadbac55d9,PASS,registry-bound G8 package contract
selection_freeze,results/evidence/task2/selection_freeze.json,51475a6e83c3e49e904633e1fa8a7e86bcc5e2f592c81f981561dac9f7cff995,51475a6e83c3e49e904633e1fa8a7e86bcc5e2f592c81f981561dac9f7cff995,PASS,immutable pre-holdout model decision
development_refit_bundle,models/task2_season.pt,5927eff73130acedc8015199e1df5a6c6edf64c0b45023ebd91c48d7ed40f93c,5927eff73130acedc8015199e1df5a6c6edf64c0b45023ebd91c48d7ed40f93c,PASS,scratch image-only model weights
development_refit_history,results/evidence/task2/development_refit/training_history.csv,b9f745260db04f7d28cad11c6a591869acd6ecb62b81e081a664cfcea2255978,b9f745260db04f7d28cad11c6a591869acd6ecb62b81e081a664cfcea2255978,PASS,24-epoch optimisation diagnostics
development_refit_runtime,results/evidence/task2/development_refit/runtime.json,19aa10492a6573e82743b33e1cc244923f585990d9fe82ba0cf9e4781e32e729,19aa10492a6573e82743b33e1cc244923f585990d9fe82ba0cf9e4781e32e729,PASS,training environment and cost provenance
canonical_splits,data/processed/splits.csv,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,PASS,only allowed data partition contract
canonical_label_maps,data/processed/label_maps.json,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,PASS,frozen Season class order
inference_source,src/fashion/task2/inference.py,9c323930b9d645e1984da74266316a1a878f066cc4837dff9b65b9b36e65f03f,9c323930b9d645e1984da74266316a1a878f066cc4837dff9b65b9b36e65f03f,PASS,verified image-only prediction interface
registry_binding,results/evidence/task2/final_handoff/registry_snapshot.csv,b6d7b4c43bffaaad75a16bb555ca36d4c2fc42853979a470682373618d34bfc8,b6d7b4c43bffaaad75a16bb555ca36d4c2fc42853979a470682373618d34bfc8,PASS,exact completed row for task2-season-i2-refit-fall-s2753-637dd6378be9
