contract,value
total validation products,5781
relevance evidence kind,metadata proxy
unresolved proxy validation,docs/reviews/open_decisions.md (non-blocking)
eligible supported query products,5768
excluded unsupported query products,13
exclusion reason,articleType lacks train-family support
final unsupported-query policy,separate coverage/failure slice
query image inputs,11536
gallery product IDs,26992
gallery image inputs,53984
shared IDs / SHA / families,0 / 0 / 0
coverage diagnostic cutoff,5
strict proxy grade for coverage,grade 2
zero strict-proxy positives,110
fewer positives than diagnostic cutoff,412
metric choice status,TODO in Task 4 notebook after baseline evidence
candidate metric families,ranking; strict-match; coverage; operational cost
ranking identity,one slot and score per product ID
