corruption,class_name,support,clean_correct,corrupted_correct,newly_wrong,recovered,corrupted_f1
jpeg_75,Boys,356,260,243,25,8,0.7363636363636362
jpeg_75,Girls,285,209,194,20,5,0.7362428842504743
jpeg_75,Men,7023,6719,6726,28,35,0.9365731393162988
jpeg_75,Unisex,707,370,367,18,15,0.586730615507594
jpeg_75,Women,4739,4356,4316,65,25,0.916445482535301
brightness_085,Boys,356,260,268,17,25,0.7302452316076293
brightness_085,Girls,285,209,174,38,3,0.7175257731958764
brightness_085,Men,7023,6719,6656,123,60,0.9314301707248811
brightness_085,Unisex,707,370,355,31,16,0.582444626743232
brightness_085,Women,4739,4356,4300,93,37,0.9062170706006323
brightness_115,Boys,356,260,236,33,9,0.7055306427503736
brightness_115,Girls,285,209,201,19,11,0.690721649484536
brightness_115,Men,7023,6719,6548,197,26,0.9301797002628028
brightness_115,Unisex,707,370,370,28,28,0.580392156862745
brightness_115,Women,4739,4356,4352,69,65,0.9052522100884035
translation_003,Boys,356,260,239,34,13,0.7081481481481482
translation_003,Girls,285,209,189,26,6,0.7159090909090908
translation_003,Men,7023,6719,6669,128,78,0.930514859773964
translation_003,Unisex,707,370,350,56,36,0.5686433793663687
translation_003,Women,4739,4356,4272,171,87,0.9039356749894203
grayscale,Boys,356,260,256,21,17,0.7398843930635838
grayscale,Girls,285,209,174,42,7,0.6987951807228917
grayscale,Men,7023,6719,6755,28,64,0.9341723136495644
grayscale,Unisex,707,370,371,27,28,0.6032520325203253
grayscale,Women,4739,4356,4260,123,27,0.9124009423859498
