variant,auxiliary_weight,run_id,stage,experiment_id,model_family,benchmark_only,final_eligible,scratch,fold,seed,git_commit,git_dirty,config_sha256,split_sha256,label_map_sha256,implementation_sha256,transform_id,loss_id,epochs_requested,epochs_completed,best_epoch,primary_metric_name,primary_metric_value,runtime_seconds,peak_vram_mb,parameter_count,checkpoint_path,checkpoint_sha256,prediction_path,prediction_sha256,history_path,history_sha256,status
G3-C1 reference,0.0,g3-c1-t1-smallcnn-f0-s2753-1ce4f9978b12,g3_full_budget,g3-c1-t1-smallcnn,smallcnn,false,true,true,0,2753,47442a2bff0aa97561bd34e16322a9af987937c7,false,1c54b8a3539f153f95ddae6aa0d871459673dd01490b2c31e8d7a7fed237f043,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,2887c38cd5653b64b57c880880a7fdf9d6aa590a4e4bd1000b87a9806a2d09fe,a0-7dba8a62f166046d,cross_entropy,30,29,24,macro_f1,0.7382535644235236,864.9851365000359,190.89794921875,1174244,tmp/task2/checkpoints/g3-c1-t1-smallcnn-f0-s2753-1ce4f9978b12.pt,1300489cc125c43984198e7434d3746befc00e86ea11d17dfb01b12c8b35d6af,tmp/task2/runs/g3-c1-t1-smallcnn-f0-s2753-1ce4f9978b12/oof.csv,14bd33d53510476d61229d30daf77c538e5c97ae9e98e28a604da7144fa68a30,tmp/task2/runs/g3-c1-t1-smallcnn-f0-s2753-1ce4f9978b12/history.json,0a7cdde5916748d2e33538fe2bc56c0afc11ac9d759467bfa6afb52e04a8bddf,completed
G3-C1 reference,0.0,g3-c1-t1-smallcnn-f1-s2753-ea0b61364ef4,g3_full_budget,g3-c1-t1-smallcnn,smallcnn,false,true,true,1,2753,47442a2bff0aa97561bd34e16322a9af987937c7,false,1c54b8a3539f153f95ddae6aa0d871459673dd01490b2c31e8d7a7fed237f043,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,2887c38cd5653b64b57c880880a7fdf9d6aa590a4e4bd1000b87a9806a2d09fe,a0-7dba8a62f166046d,cross_entropy,30,26,21,macro_f1,0.740002342703693,764.0989776999922,191.35888671875,1174244,tmp/task2/checkpoints/g3-c1-t1-smallcnn-f1-s2753-ea0b61364ef4.pt,362b60964a81f5d483dc3adacd7e99303fa041e8018bafc22915f0d33defa04a,tmp/task2/runs/g3-c1-t1-smallcnn-f1-s2753-ea0b61364ef4/oof.csv,76dbe7abc42f4077b01956b068f2f8247038fbf0ad54bd52152788581456c114,tmp/task2/runs/g3-c1-t1-smallcnn-f1-s2753-ea0b61364ef4/history.json,f316f6a42660612a7fb096d0d213564e963d6ffbec21fe60593625b977fd9df2,completed
G3-C1 reference,0.0,g3-c1-t1-smallcnn-f2-s2753-8439c63a5bac,g3_full_budget,g3-c1-t1-smallcnn,smallcnn,false,true,true,2,2753,47442a2bff0aa97561bd34e16322a9af987937c7,false,1c54b8a3539f153f95ddae6aa0d871459673dd01490b2c31e8d7a7fed237f043,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,2887c38cd5653b64b57c880880a7fdf9d6aa590a4e4bd1000b87a9806a2d09fe,a0-7dba8a62f166046d,cross_entropy,30,19,14,macro_f1,0.735769747903171,568.2538828999968,191.35888671875,1174244,tmp/task2/checkpoints/g3-c1-t1-smallcnn-f2-s2753-8439c63a5bac.pt,ed7d2189143005b422b981a73183ede014a26c13e412373abf5fb92d813d69c2,tmp/task2/runs/g3-c1-t1-smallcnn-f2-s2753-8439c63a5bac/oof.csv,149280e7a02fb02ee1bdd7ae1050fc5e6a5bdce1530378f99a5f7ec81fe600fd,tmp/task2/runs/g3-c1-t1-smallcnn-f2-s2753-8439c63a5bac/history.json,e165a7bf11bc344579f6e4e281bb525aca0726158ad8c0f5a18d1e5d6b8974c3,completed
G3-C1 reference,0.0,g3-c1-t1-smallcnn-f3-s2753-16f0d6eb1cbc,g3_full_budget,g3-c1-t1-smallcnn,smallcnn,false,true,true,3,2753,47442a2bff0aa97561bd34e16322a9af987937c7,false,1c54b8a3539f153f95ddae6aa0d871459673dd01490b2c31e8d7a7fed237f043,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,2887c38cd5653b64b57c880880a7fdf9d6aa590a4e4bd1000b87a9806a2d09fe,a0-7dba8a62f166046d,cross_entropy,30,30,28,macro_f1,0.7509616550947982,874.9446290999767,191.35888671875,1174244,tmp/task2/checkpoints/g3-c1-t1-smallcnn-f3-s2753-16f0d6eb1cbc.pt,bee2da36bfe617b5501591445a896553e494b99014f1ec397d60158c18cdd73f,tmp/task2/runs/g3-c1-t1-smallcnn-f3-s2753-16f0d6eb1cbc/oof.csv,779be00d98e0bca2b163b023acab8473a19a3e5fcdd570f7855878b8f5ef4025,tmp/task2/runs/g3-c1-t1-smallcnn-f3-s2753-16f0d6eb1cbc/history.json,5b7f2c89c162451f62a87fb027cad3236a027113c1d1f740d32b310c7b07bfd4,completed
G3-C1 reference,0.0,g3-c1-t1-smallcnn-f4-s2753-2b4a6d779fa3,g3_full_budget,g3-c1-t1-smallcnn,smallcnn,false,true,true,4,2753,47442a2bff0aa97561bd34e16322a9af987937c7,false,1c54b8a3539f153f95ddae6aa0d871459673dd01490b2c31e8d7a7fed237f043,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,2887c38cd5653b64b57c880880a7fdf9d6aa590a4e4bd1000b87a9806a2d09fe,a0-7dba8a62f166046d,cross_entropy,30,18,13,macro_f1,0.723007465506373,540.3081850999733,191.35888671875,1174244,tmp/task2/checkpoints/g3-c1-t1-smallcnn-f4-s2753-2b4a6d779fa3.pt,442bbd7226ef67992026d37ae36dcb30dc7e76658e42c0984571a0b2a593731a,tmp/task2/runs/g3-c1-t1-smallcnn-f4-s2753-2b4a6d779fa3/oof.csv,a27c7e7ba3a5f5948acb9934b6cd6a47814c3a58e9311435793c7003ca767350,tmp/task2/runs/g3-c1-t1-smallcnn-f4-s2753-2b4a6d779fa3/history.json,37f62de64618ea41d03d2f2c792f01074b711b4c658d6c5376d2c69b96312e21,completed
I2 lambda=0.1,0.1,g4-i2-article-type-lambda-0-1-c1-f0-s2753-1ffe70bcc40d,g4_i2_multitask,g4-i2-article-type-lambda-0-1-c1,smallcnn,false,true,true,0,2753,7a6bb493f0d91f56aa075bb3d1f1c6e8a6e6f884,false,45489223166e856554d728ea9676385167018391d7697d3aa4de817c0aacfcba,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,877706919db28f917632f9250b1b40d446695f941fd226211246d69efd7838de,a0-7dba8a62f166046d,season_ce_plus_masked_article_type_ce_lambda_0_1,30,27,22,macro_f1,0.7494697306859952,620.6556947000208,189.5087890625,1206112,tmp/task2/checkpoints/g4-i2-article-type-lambda-0-1-c1-f0-s2753-1ffe70bcc40d.pt,3638922acbae69d5352efd2537fe0428860931c3257b89f523140d0f96128b5f,tmp/task2/runs/g4-i2-article-type-lambda-0-1-c1-f0-s2753-1ffe70bcc40d/oof.csv,341eb3bb640bec3a0d0c28996dccd9035523f63b1d4eecbf17236e9cbc023526,tmp/task2/runs/g4-i2-article-type-lambda-0-1-c1-f0-s2753-1ffe70bcc40d/history.json,3dda9d3664c8f7a5b9875752541dda0294871b95e9be49fcb34edc2683dbbf3e,completed
I2 lambda=0.1,0.1,g4-i2-article-type-lambda-0-1-c1-f1-s2753-c6826c2f4179,g4_i2_multitask,g4-i2-article-type-lambda-0-1-c1,smallcnn,false,true,true,1,2753,7a6bb493f0d91f56aa075bb3d1f1c6e8a6e6f884,false,45489223166e856554d728ea9676385167018391d7697d3aa4de817c0aacfcba,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,877706919db28f917632f9250b1b40d446695f941fd226211246d69efd7838de,a0-7dba8a62f166046d,season_ce_plus_masked_article_type_ce_lambda_0_1,30,29,24,macro_f1,0.7445375849968889,486.4888845999958,190.1025390625,1206112,tmp/task2/checkpoints/g4-i2-article-type-lambda-0-1-c1-f1-s2753-c6826c2f4179.pt,f761b4c7e85e5e954d131c5fc75cec5cddd2838479ce58370c26410e0b3ad622,tmp/task2/runs/g4-i2-article-type-lambda-0-1-c1-f1-s2753-c6826c2f4179/oof.csv,2769145151612c0049e4cfbecd3cdfc2a010fdb6c05a94ecb827f00a63a693dc,tmp/task2/runs/g4-i2-article-type-lambda-0-1-c1-f1-s2753-c6826c2f4179/history.json,0902665da6fa337ab19af30f51091cfadbbc7ff10727c5d720bed632abd6bc41,completed
I2 lambda=0.1,0.1,g4-i2-article-type-lambda-0-1-c1-f2-s2753-aac1b935c194,g4_i2_multitask,g4-i2-article-type-lambda-0-1-c1,smallcnn,false,true,true,2,2753,7a6bb493f0d91f56aa075bb3d1f1c6e8a6e6f884,false,45489223166e856554d728ea9676385167018391d7697d3aa4de817c0aacfcba,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,877706919db28f917632f9250b1b40d446695f941fd226211246d69efd7838de,a0-7dba8a62f166046d,season_ce_plus_masked_article_type_ce_lambda_0_1,30,30,30,macro_f1,0.7496190802927047,361.2793804999674,190.1025390625,1206112,tmp/task2/checkpoints/g4-i2-article-type-lambda-0-1-c1-f2-s2753-aac1b935c194.pt,1c250f836a17668c6f8e34fcfb6db672c2fd931ccb46d456e600e07c1340a2ea,tmp/task2/runs/g4-i2-article-type-lambda-0-1-c1-f2-s2753-aac1b935c194/oof.csv,5a302dffe3e29e7bf9589ce3f020b313b844661b230d0eee264e61cabe8cb698,tmp/task2/runs/g4-i2-article-type-lambda-0-1-c1-f2-s2753-aac1b935c194/history.json,f700ca2e7abfd3d17a68b58c7ae3882fd22c8bf7711e9e53881034113281bcf5,completed
I2 lambda=0.1,0.1,g4-i2-article-type-lambda-0-1-c1-f3-s2753-20ed08e00ee9,g4_i2_multitask,g4-i2-article-type-lambda-0-1-c1,smallcnn,false,true,true,3,2753,7a6bb493f0d91f56aa075bb3d1f1c6e8a6e6f884,false,45489223166e856554d728ea9676385167018391d7697d3aa4de817c0aacfcba,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,877706919db28f917632f9250b1b40d446695f941fd226211246d69efd7838de,a0-7dba8a62f166046d,season_ce_plus_masked_article_type_ce_lambda_0_1,30,30,27,macro_f1,0.7583079902645908,495.13641999999527,190.1025390625,1206112,tmp/task2/checkpoints/g4-i2-article-type-lambda-0-1-c1-f3-s2753-20ed08e00ee9.pt,2cb765b702eeeb247bab111a6bf8000ba9e7756c3bfaf6fe4585c44addb1483f,tmp/task2/runs/g4-i2-article-type-lambda-0-1-c1-f3-s2753-20ed08e00ee9/oof.csv,7e6e5aad580824274d9826837e5f85dca26714a23ea54f9745e06346b6ccd74c,tmp/task2/runs/g4-i2-article-type-lambda-0-1-c1-f3-s2753-20ed08e00ee9/history.json,d205826d555c163d6d062c4cffa8ff8e2ea0ecff61022e0a5d0b90daae1e5139,completed
I2 lambda=0.1,0.1,g4-i2-article-type-lambda-0-1-c1-f4-s2753-6291e9a96fde,g4_i2_multitask,g4-i2-article-type-lambda-0-1-c1,smallcnn,false,true,true,4,2753,7a6bb493f0d91f56aa075bb3d1f1c6e8a6e6f884,false,45489223166e856554d728ea9676385167018391d7697d3aa4de817c0aacfcba,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,877706919db28f917632f9250b1b40d446695f941fd226211246d69efd7838de,a0-7dba8a62f166046d,season_ce_plus_masked_article_type_ce_lambda_0_1,30,29,24,macro_f1,0.7518199961935825,460.4551666000043,190.1025390625,1206112,tmp/task2/checkpoints/g4-i2-article-type-lambda-0-1-c1-f4-s2753-6291e9a96fde.pt,842017125703483fb3b51d2a4c4862e477c3bb7daf4ff53a95a9c0cde9ae837e,tmp/task2/runs/g4-i2-article-type-lambda-0-1-c1-f4-s2753-6291e9a96fde/oof.csv,221c65a401edbe63af28946f98b5ad2af3bb710d7dd09a4aa203fca9b0e0de79,tmp/task2/runs/g4-i2-article-type-lambda-0-1-c1-f4-s2753-6291e9a96fde/history.json,503c387ca671fe3c750855179e049d972efd8cde5b46bd30857b6063ceb877ff,completed
