external_id,visual_decision,visual_flags,selection_reason
flipkart_party:BRAEBG4DCHJMRYZZ,keep,single_product_presentation,
flipkart_party:BZREHJ6ZXZ9YWZFB,keep,model_worn_outfit_context,
flipkart_party:SNDEHZKGKGHDFG57,keep,single_product_presentation,
flipkart_party:CAPE8HYQSXRDAGGC,keep,large_product_lettering,
flipkart_party:SNDEDSCEVHNXMTKU,keep,single_product_presentation,
flipkart_party:SHOEJDYYRGWZZBM6,withhold,single_product_presentation,"Unresolved source product-type mismatch (6,7), or small top competing with full outfit at 60x80 (15,49,69)"
flipkart_party:SHOEFRUPFECAZYBS,withhold,single_product_presentation,"Unresolved source product-type mismatch (6,7), or small top competing with full outfit at 60x80 (15,49,69)"
flipkart_party:BRAEBGGVYKJZAZYV,keep,single_product_presentation,
flipkart_party:SNDECCCGM2TCHBWG,keep,single_product_presentation,
flipkart_party:SHODX6XFHPZUHNDX,keep,single_product_presentation,
flipkart_party:SHTDZWNYZFV33BAX,keep,model_worn_outfit_context,
flipkart_party:SHTDUS8RJ7ZBDSBK,keep,single_product_presentation,
flipkart_party:SNDE7RMR597YAKXB,keep,single_product_presentation,
flipkart_party:SNDEHZHVMR3XPBST,withhold,mapped_Heels_may_be_flat_or_low_wedge_review_type,Collage or unresolved source product-type mismatch
flipkart_party:TOPEBABFMZ2GSC2G,withhold,model_worn_outfit_context,"Unresolved source product-type mismatch (6,7), or small top competing with full outfit at 60x80 (15,49,69)"
flipkart_party:TOPE9RCYS54YZNFG,keep,model_worn_outfit_context,
flipkart_party:TOPEA6CKCHFHTUZ9,keep,model_worn_outfit_context,
flipkart_party:TOPEHZNPUWSFVHKM,keep,model_worn_outfit_context,
flipkart_party:SNDEHZQ7YZAHAZYP,keep,single_product_presentation,
flipkart_party:TOPECAE3JJMVYJFF,keep,model_worn_outfit_context,
flipkart_party:TOPEBR5GNG9MACAD,keep,model_worn_outfit_context,
flipkart_party:BRAEA7GBQR7ZZN4K,keep,single_product_presentation,
flipkart_party:SNDEJS7AGFRYHWGV,withhold,mapped_Heels_may_be_flat_or_low_wedge_review_type,Collage or unresolved source product-type mismatch
flipkart_party:SNDEY4AKUX9BWZFG,keep,single_product_presentation,
flipkart_party:SNDEJRB4D4RDAN6E,keep,single_product_presentation,
flipkart_party:SHOEDTP4GJZGKCFS,keep,single_product_presentation,
flipkart_party:SNDE9HRW9ZVPG9A6,keep,single_product_presentation,
flipkart_party:SNDEE5FMQ5YQAKMZ,keep,single_product_presentation,
flipkart_party:TOPDYTMFQNAGZVNG,keep,single_product_presentation,
flipkart_party:SNDEDFYPJFHXG98W,keep,single_product_presentation,
flipkart_party:BRAEAHFYFKDVDY8F,keep,single_product_presentation,
flipkart_party:SNDEGR5WFMG4YGHZ,withhold,mapped_Heels_may_be_flat_or_low_wedge_review_type,Collage or unresolved source product-type mismatch
flipkart_party:SHOEGKU9SUZRXPHY,keep,single_product_presentation,
flipkart_party:TOPE9T8FXVBGHGQS,keep,model_worn_outfit_context,
flipkart_party:SNDEBR4ETGGZWASZ,keep,single_product_presentation,
flipkart_party:SNDE33WXXFHJUZPD,keep,single_product_presentation,
flipkart_party:TOPE494XPFCSZA6H,keep,model_worn_outfit_context,
flipkart_party:SHOE9YD3REFDCPBR,keep,single_product_presentation,
flipkart_party:SUIEHFNUU3BDCGZN,keep,model_worn_outfit_context,
flipkart_party:DREE7UE3SH2GGG2F,keep,model_worn_outfit_context,
flipkart_party:SHTE5YHGMHQZHD8E,keep,model_worn_outfit_context,
flipkart_party:SHTE2FCTN7MYJCUW,keep,model_worn_outfit_context,
flipkart_party:DREE9HZGGRRHS2SW,keep,model_worn_outfit_context,
flipkart_party:SARE86DZPAVZZ8S5,keep,model_worn_outfit_context,
flipkart_party:TOPECH4FHGAQXFDH,keep,model_worn_outfit_context,
flipkart_party:SNDEB2DMZXGFA9YM,keep,single_product_presentation,
flipkart_party:SHOED36FPJ9WYBJK,keep,single_product_presentation,
flipkart_party:SNDEDKKXNZZMDVAE,keep,single_product_presentation,
flipkart_party:TOPEHZPAMBSJYWZF,withhold,model_worn_outfit_context,"Unresolved source product-type mismatch (6,7), or small top competing with full outfit at 60x80 (15,49,69)"
flipkart_party:TOPECCMNG24UGAHX,keep,model_worn_outfit_context,
flipkart_party:TOPED77KRHWBGGN6,keep,model_worn_outfit_context,
flipkart_party:SNDEBGHCD3C9PY3F,withhold,mapped_Heels_may_be_flat_or_low_wedge_review_type,Collage or unresolved source product-type mismatch
flipkart_party:TOPEFGG8TJGJ7QDT,keep,model_worn_outfit_context,
flipkart_party:BRAEDGQFWPFGVPNF,withhold,model_worn_outfit_context;collage_three_models_three_color_variants,Collage or unresolved source product-type mismatch
flipkart_party:BRAEBGGV3NPZHAGQ,keep,single_product_presentation,
flipkart_party:BRAEDASWQDSYNUV3,keep,single_product_presentation,
flipkart_party:SNDE5PJGURDFBURG,keep,single_product_presentation,
flipkart_party:SNDE6GFVKTW2HXRN,withhold,mapped_Heels_may_be_flat_or_low_wedge_review_type,Collage or unresolved source product-type mismatch
flipkart_party:BRAEA7GBCCF5TVAF,keep,single_product_presentation,
flipkart_party:BRAECHF3WZHZBQX2,keep,model_worn_outfit_context,
flipkart_party:TSHE44QJ9ZN7V7AT,keep,model_worn_outfit_context,
flipkart_party:SNDEJRB3ZCF39NCY,withhold,mapped_Heels_may_be_flat_or_low_wedge_review_type,Collage or unresolved source product-type mismatch
flipkart_party:SNDEDAPKZGGEGYHV,keep,single_product_presentation,
flipkart_party:SHODX6XYJXS2YXFY,keep,single_product_presentation,
flipkart_party:SHOE4K54VP44KTZK,keep,single_product_presentation,
flipkart_party:SNDE6AKUC72HPWZF,keep,single_product_presentation,
flipkart_party:SHTE4ZP5ZXGGJ5FN,keep,model_worn_outfit_context,
flipkart_party:TUNEH2MKQBCHNSZE,withhold,mapped_top_or_tunic_has_dress_like_presentation_review_type,Collage or unresolved source product-type mismatch
flipkart_party:TOPE7NMGHMTJPCMT,withhold,model_worn_outfit_context,"Unresolved source product-type mismatch (6,7), or small top competing with full outfit at 60x80 (15,49,69)"
flipkart_party:BRAEBKJSNVGDG4DP,keep,model_worn_outfit_context,
flipkart_party:TOPE8E8NZP256K8G,keep,model_worn_outfit_context,
flipkart_party:SHTE5YHGZVA9HB2Y,keep,model_worn_outfit_context,
flipkart_party:SHTE4S27GR2WA6DD,keep,model_worn_outfit_context,
flipkart_party:TOPEHZNP4QZHVTDW,keep,model_worn_outfit_context,
flipkart_party:SNDE6BQFXAGRVGF5,keep,single_product_presentation,
flipkart_party:SNDEF3HVZW4NPVCN,keep,single_product_presentation,
flipkart_party:SNDEF3R3VB55PJBX,keep,single_product_presentation,
flipkart_party:SHTE644DZWTFY6KD,keep,model_worn_outfit_context,
flipkart_party:SNDE5PJGWDSXSDQN,keep,single_product_presentation,
flipkart_party:SHTE93RYMXUU7P6Q,keep,model_worn_outfit_context,
flipkart_party:SHTE4Q74EEHQJZQB,keep,model_worn_outfit_context,
flipkart_party:TOPEYHHWTQ59WEHB,keep,model_worn_outfit_context,
flipkart_party:TOPEC89ZP7VSJGZK,withhold,model_worn_outfit_context;mapped_top_or_tunic_has_dress_like_presentation_review_type,Collage or unresolved source product-type mismatch
flipkart_party:BRAE9Y5V963WTTNW,keep,single_product_presentation,
flipkart_party:SNDEARQA4U9GY6TG,keep,single_product_presentation,
flipkart_party:KTAEJHDKFWHH7YC8,keep,model_worn_outfit_context,
flipkart_party:TOPEHZNZ9YZYYAPU,keep,model_worn_outfit_context,
flipkart_party:SNDEDB2FPSNFBUTU,keep,single_product_presentation,
flipkart_party:DREE6TUDFCEGGVWM,keep,model_worn_outfit_context,
flipkart_party:BRAED6G6TVPF94CV,keep,single_product_presentation,
