review_id,role_1,id_1,role_2,id_2,decision,notes,reviewer_initials,review_date,review_method_or_tool,blind_to_metrics,independent_review,second_reviewer_initials,second_review_decision,second_review_status,disagreement_resolution,signoff_status
accepted-001,prediction,57632,prediction,57634,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-002,prediction,56424,prediction,56619,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-003,prediction,57553,prediction,57558,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-004,prediction,57633,prediction,57654,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-005,prediction,55022,prediction,55024,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-006,prediction,57593,prediction,57605,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-007,labelled,49121,labelled,49124,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-008,prediction,56532,prediction,56533,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-009,prediction,55407,prediction,55410,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-010,prediction,57708,prediction,57709,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-011,prediction,56022,prediction,56025,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-012,prediction,56014,prediction,56028,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-013,prediction,55049,prediction,55055,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-014,prediction,57562,prediction,57579,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-015,labelled,13019,labelled,22259,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-016,prediction,55585,prediction,55586,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-017,prediction,55025,prediction,55026,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-018,labelled,49080,labelled,49114,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-019,prediction,57574,prediction,57577,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-020,prediction,55022,prediction,55042,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-021,prediction,55113,prediction,55114,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-022,prediction,55029,prediction,55030,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-023,prediction,55238,prediction,55239,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-024,prediction,57587,prediction,57606,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-025,prediction,55062,prediction,55066,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-026,prediction,56523,prediction,56530,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-027,prediction,55273,prediction,55274,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-028,prediction,56515,prediction,56518,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-029,prediction,55447,prediction,55451,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-030,prediction,55035,prediction,55037,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-031,prediction,55031,prediction,55042,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-032,labelled,49119,labelled,49124,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-033,prediction,55357,prediction,55361,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-034,labelled,28882,labelled,28891,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-035,prediction,55874,prediction,55878,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-036,prediction,57646,prediction,57653,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-037,prediction,56025,prediction,56037,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-038,prediction,56520,prediction,56532,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-039,prediction,56521,prediction,56533,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
