target,model_variant,role,status,runs,folds
gender,eda_linear_probe_border_hog,EDA probe; sampled population,complete,20,"0,1,2,3,4"
gender,eda_linear_probe_colour_summary,EDA probe; sampled population,complete,20,"0,1,2,3,4"
gender,eda_linear_probe_foreground_hog,EDA probe; sampled population,complete,5,"0,1,2,3,4"
gender,eda_linear_probe_foreground_hog,Incomplete attempt; no candidate score,failed,1,0
gender,eda_linear_probe_foreground_letterbox_hog,EDA probe; sampled population,complete,15,"0,1,2,3,4"
gender,eda_linear_probe_foreground_masked_hog,EDA probe; sampled population,complete,15,"0,1,2,3,4"
gender,eda_linear_probe_full_rgb_hog,EDA probe; sampled population,complete,28,"0,1,2,3,4"
gender,eda_linear_probe_full_rgb_hog,Incomplete attempt; no candidate score,failed,1,3
gender,eda_linear_probe_global_geometry_colour,EDA probe; sampled population,complete,15,"0,1,2,3,4"
gender,eda_linear_probe_grayscale_hog,EDA probe; sampled population,complete,20,"0,1,2,3,4"
gender,eda_linear_probe_nuisance_only,EDA probe; sampled population,complete,5,"0,1,2,3,4"
gender,eda_linear_probe_silhouette_hog,EDA probe; sampled population,complete,20,"0,1,2,3,4"
gender,t3_clean_slate_s1_gender_hog_svm,Development candidate,complete,2,"0,4"
gender,t3_clean_slate_s1_gender_hog_svm,Incomplete attempt; no candidate score,running,1,0
gender,t3_clean_slate_s2_gender_micro_swin,Development candidate,complete,2,"0,4"
gender,t3_gender_audience_aux_gem_p3,Development candidate,complete,5,"0,1,2,3,4"
gender,t3_gender_brightness_smallcnn,Development candidate,complete,5,"0,1,2,3,4"
gender,t3_gender_class_balanced_smallcnn,Development candidate,complete,5,"0,1,2,3,4"
gender,t3_gender_compact_blur_cnn,Development candidate,complete,5,"0,1,2,3,4"
gender,t3_gender_dropout_030,Development candidate,complete,2,"0,4"
gender,t3_gender_dropout_030_mild_darkening,Development candidate,complete,2,"0,4"
gender,t3_gender_dropout_030_mild_darkening_grayscale_010,Development candidate,complete,2,"0,4"
gender,t3_gender_dropout_045_mild_darkening,Development candidate,complete,2,"0,4"
gender,t3_gender_gem_p3_early_stopping,Development candidate,complete,5,"0,1,2,3,4"
gender,t3_gender_gem_p3_smallcnn,Development candidate,complete,5,"0,1,2,3,4"
gender,t3_gender_mixup020_clean_bn_probe,Training-only BN diagnostic,complete,2,"0,4"
gender,t3_gender_name_truth_article_weight_sqrt_cap3,Development candidate,complete,2,"0,4"
gender,t3_gender_name_truth_dropout_030_grayscale_010,Development candidate,complete,2,"0,4"
gender,t3_gender_name_truth_mixup_alpha020,Development candidate,complete,2,"0,4"
gender,t3_gender_name_truth_mixup_alpha020_cv,Development candidate,complete,5,"0,1,2,3,4"
gender,t3_gender_name_truth_mixup_alpha020_refit,Full-development refit; no OOF score,complete,1,
gender,t3_gender_name_truth_mixup_alpha020_sam005,Development candidate,complete,2,"0,4"
gender,t3_gender_name_truth_mixup_alpha020_sam005_epoch25,Development candidate,complete,2,"0,4"
