child,slice,rows,both_wrong,fixed_e2_errors,new_errors,both_correct,prediction_disagreement
E3,all,32772,2678,878,872,28344,1800
E3,usual,29394,1274,662,655,26803,1335
E3,exception,3359,1398,216,217,1528,463
E3,Casual,25151,797,493,424,23437,927
E3,Ethnic,2183,295,75,79,1734,161
E3,Formal,1949,402,103,84,1360,202
E3,Home,1,1,0,0,0,1
E3,NA,61,47,4,3,7,8
E3,Party,12,12,0,0,0,3
E3,Smart Casual,47,46,1,0,0,5
E3,Sports,3346,1059,202,282,1803,493
E3,Travel,22,19,0,0,3,0
E4,all,32772,2346,1210,1589,27627,2876
E4,usual,29394,1005,931,1187,26271,2155
E4,exception,3359,1335,279,401,1344,719
E4,Casual,25151,566,724,726,23135,1464
E4,Ethnic,2183,270,100,213,1600,324
E4,Formal,1949,398,107,185,1259,313
E4,Home,1,1,0,0,0,0
E4,NA,61,51,0,3,7,8
E4,Party,12,12,0,0,0,2
E4,Smart Casual,47,46,1,0,0,5
E4,Sports,3346,983,278,461,1624,757
E4,Travel,22,19,0,1,2,3
E5,all,32772,2694,862,824,28392,1737
E5,usual,29394,1274,662,595,26863,1280
E5,exception,3359,1414,200,227,1518,454
E5,Casual,25151,780,510,385,23476,908
E5,Ethnic,2183,301,69,118,1695,195
E5,Formal,1949,419,86,85,1359,187
E5,Home,1,1,0,0,0,0
E5,NA,61,49,2,3,7,7
E5,Party,12,12,0,0,0,1
E5,Smart Casual,47,47,0,0,0,2
E5,Sports,3346,1066,195,233,1852,436
E5,Travel,22,19,0,0,3,1
E6,all,32772,2750,806,915,28301,1774
E6,usual,29394,1320,616,682,26776,1319
E6,exception,3359,1424,190,232,1513,454
E6,Casual,25151,825,465,470,23391,948
E6,Ethnic,2183,308,62,99,1714,166
E6,Formal,1949,430,75,101,1343,193
E6,Home,1,1,0,0,0,0
E6,NA,61,49,2,2,8,4
E6,Party,12,12,0,0,0,2
E6,Smart Casual,47,46,1,0,0,4
E6,Sports,3346,1060,201,243,1842,455
E6,Travel,22,19,0,0,3,2
E7,all,32772,2408,1148,2437,26779,3720
E7,usual,29394,1012,924,1821,25637,2817
E7,exception,3359,1390,224,611,1134,897
E7,Casual,25151,531,759,1079,22782,1866
E7,Ethnic,2183,277,93,314,1499,417
E7,Formal,1949,411,94,307,1137,428
E7,Home,1,1,0,0,0,0
E7,NA,61,48,3,2,8,11
E7,Party,12,12,0,0,0,2
E7,Smart Casual,47,46,1,0,0,7
E7,Sports,3346,1063,198,735,1350,987
E7,Travel,22,19,0,0,3,2
E8,all,32772,2662,894,991,28225,1959
E8,usual,29394,1257,679,722,26736,1439
E8,exception,3359,1399,215,269,1476,518
E8,Casual,25151,770,520,501,23360,1042
E8,Ethnic,2183,301,69,97,1716,182
E8,Formal,1949,394,111,91,1353,224
E8,Home,1,1,0,0,0,1
E8,NA,61,47,4,2,8,8
E8,Party,12,11,1,0,0,3
E8,Smart Casual,47,41,6,0,0,8
E8,Sports,3346,1080,181,300,1785,487
E8,Travel,22,17,2,0,3,4
E9,all,32772,2404,1152,2939,26277,4188
E9,usual,29394,1484,452,2880,24578,3377
E9,exception,3359,914,700,56,1689,807
E9,Casual,25151,950,340,2323,21538,2684
E9,Ethnic,2183,259,111,144,1669,274
E9,Formal,1949,310,195,157,1287,379
E9,Home,1,1,0,0,0,0
E9,NA,61,45,6,0,10,9
E9,Party,12,11,1,0,0,3
E9,Smart Casual,47,41,6,0,0,11
E9,Sports,3346,769,492,315,1770,823
E9,Travel,22,18,1,0,3,5
U1,all,13110,1085,349,358,11318,731
U1,usual,11720,524,251,278,10667,539
U1,exception,1385,559,98,80,648,191
U1,Casual,10065,342,187,235,9301,430
U1,Ethnic,873,118,29,33,693,64
U1,Formal,779,167,41,21,550,65
U1,Home,1,1,0,0,0,0
U1,NA,22,18,0,1,3,3
U1,Party,6,6,0,0,0,2
U1,Smart Casual,18,17,1,0,0,3
U1,Sports,1338,409,91,68,770,163
U1,Travel,8,7,0,0,1,1
U2,all,13110,891,543,870,10806,1445
U2,usual,11720,334,441,560,10385,1014
U2,exception,1385,555,102,310,418,430
U2,Casual,10065,121,408,166,9370,580
U2,Ethnic,873,119,28,168,558,198
U2,Formal,779,173,35,193,378,236
U2,Home,1,1,0,0,0,0
U2,NA,22,18,0,2,2,4
U2,Party,6,6,0,0,0,3
U2,Smart Casual,18,18,0,0,0,3
U2,Sports,1338,428,72,341,497,421
U2,Travel,8,7,0,0,1,0
S1,all,13110,871,563,983,10693,1570
S1,usual,11720,235,540,303,10642,853
S1,exception,1385,634,23,680,48,716
S1,Casual,10065,137,392,236,9300,630
S1,Ethnic,873,111,36,100,626,138
S1,Formal,779,168,40,319,252,365
S1,Home,1,1,0,0,0,1
S1,NA,22,17,1,4,0,7
S1,Party,6,6,0,0,0,2
S1,Smart Casual,18,18,0,0,0,0
S1,Sports,1338,406,94,323,515,425
S1,Travel,8,7,0,1,0,2
