fold,model,condition,truth,prediction,count
pooled,D30,clean,Boys,Boys,180
pooled,D30,clean,Boys,Girls,19
pooled,D30,clean,Boys,Men,47
pooled,D30,clean,Boys,Unisex,13
pooled,D30,clean,Boys,Women,15
pooled,D30,clean,Girls,Boys,27
pooled,D30,clean,Girls,Girls,125
pooled,D30,clean,Girls,Men,7
pooled,D30,clean,Girls,Unisex,12
pooled,D30,clean,Girls,Women,45
pooled,D30,clean,Men,Boys,37
pooled,D30,clean,Men,Girls,11
pooled,D30,clean,Men,Men,6755
pooled,D30,clean,Men,Unisex,94
pooled,D30,clean,Men,Women,205
pooled,D30,clean,Unisex,Boys,12
pooled,D30,clean,Unisex,Girls,10
pooled,D30,clean,Unisex,Men,204
pooled,D30,clean,Unisex,Unisex,365
pooled,D30,clean,Unisex,Women,117
pooled,D30,clean,Women,Boys,6
pooled,D30,clean,Women,Girls,39
pooled,D30,clean,Women,Men,317
pooled,D30,clean,Women,Unisex,45
pooled,D30,clean,Women,Women,4403
pooled,D30,gray,Boys,Boys,159
pooled,D30,gray,Boys,Girls,7
pooled,D30,gray,Boys,Men,74
pooled,D30,gray,Boys,Unisex,9
pooled,D30,gray,Boys,Women,25
pooled,D30,gray,Girls,Boys,43
pooled,D30,gray,Girls,Girls,60
pooled,D30,gray,Girls,Men,45
pooled,D30,gray,Girls,Unisex,14
pooled,D30,gray,Girls,Women,54
pooled,D30,gray,Men,Boys,29
pooled,D30,gray,Men,Girls,4
pooled,D30,gray,Men,Men,6820
pooled,D30,gray,Men,Unisex,83
pooled,D30,gray,Men,Women,166
pooled,D30,gray,Unisex,Boys,7
pooled,D30,gray,Unisex,Men,242
pooled,D30,gray,Unisex,Unisex,361
pooled,D30,gray,Unisex,Women,98
pooled,D30,gray,Women,Boys,10
pooled,D30,gray,Women,Girls,29
pooled,D30,gray,Women,Men,571
pooled,D30,gray,Women,Unisex,47
pooled,D30,gray,Women,Women,4153
pooled,D45,clean,Boys,Boys,172
pooled,D45,clean,Boys,Girls,13
pooled,D45,clean,Boys,Men,51
pooled,D45,clean,Boys,Unisex,20
pooled,D45,clean,Boys,Women,18
pooled,D45,clean,Girls,Boys,31
pooled,D45,clean,Girls,Girls,117
pooled,D45,clean,Girls,Men,11
pooled,D45,clean,Girls,Unisex,12
pooled,D45,clean,Girls,Women,45
pooled,D45,clean,Men,Boys,39
pooled,D45,clean,Men,Girls,9
pooled,D45,clean,Men,Men,6730
pooled,D45,clean,Men,Unisex,90
pooled,D45,clean,Men,Women,234
pooled,D45,clean,Unisex,Boys,15
pooled,D45,clean,Unisex,Girls,11
pooled,D45,clean,Unisex,Men,206
pooled,D45,clean,Unisex,Unisex,369
pooled,D45,clean,Unisex,Women,107
pooled,D45,clean,Women,Boys,7
pooled,D45,clean,Women,Girls,43
pooled,D45,clean,Women,Men,332
pooled,D45,clean,Women,Unisex,50
pooled,D45,clean,Women,Women,4378
pooled,D45,gray,Boys,Boys,147
pooled,D45,gray,Boys,Girls,7
pooled,D45,gray,Boys,Men,92
pooled,D45,gray,Boys,Unisex,8
pooled,D45,gray,Boys,Women,20
pooled,D45,gray,Girls,Boys,40
pooled,D45,gray,Girls,Girls,65
pooled,D45,gray,Girls,Men,39
pooled,D45,gray,Girls,Unisex,13
pooled,D45,gray,Girls,Women,59
pooled,D45,gray,Men,Boys,33
pooled,D45,gray,Men,Girls,3
pooled,D45,gray,Men,Men,6823
pooled,D45,gray,Men,Unisex,71
pooled,D45,gray,Men,Women,172
pooled,D45,gray,Unisex,Boys,6
pooled,D45,gray,Unisex,Men,258
pooled,D45,gray,Unisex,Unisex,346
pooled,D45,gray,Unisex,Women,98
pooled,D45,gray,Women,Boys,10
pooled,D45,gray,Women,Girls,29
pooled,D45,gray,Women,Men,645
pooled,D45,gray,Women,Unisex,51
pooled,D45,gray,Women,Women,4075
pooled,G2,clean,Boys,Boys,182
pooled,G2,clean,Boys,Girls,11
pooled,G2,clean,Boys,Men,41
pooled,G2,clean,Boys,Unisex,20
pooled,G2,clean,Boys,Women,20
pooled,G2,clean,Girls,Boys,31
pooled,G2,clean,Girls,Girls,122
pooled,G2,clean,Girls,Men,6
pooled,G2,clean,Girls,Unisex,11
pooled,G2,clean,Girls,Women,46
pooled,G2,clean,Men,Boys,37
pooled,G2,clean,Men,Girls,10
pooled,G2,clean,Men,Men,6754
pooled,G2,clean,Men,Unisex,91
pooled,G2,clean,Men,Women,210
pooled,G2,clean,Unisex,Boys,14
pooled,G2,clean,Unisex,Girls,11
pooled,G2,clean,Unisex,Men,202
pooled,G2,clean,Unisex,Unisex,383
pooled,G2,clean,Unisex,Women,98
pooled,G2,clean,Women,Boys,4
pooled,G2,clean,Women,Girls,38
pooled,G2,clean,Women,Men,314
pooled,G2,clean,Women,Unisex,55
pooled,G2,clean,Women,Women,4399
pooled,G2,gray,Boys,Boys,160
pooled,G2,gray,Boys,Girls,10
pooled,G2,gray,Boys,Men,67
pooled,G2,gray,Boys,Unisex,8
pooled,G2,gray,Boys,Women,29
pooled,G2,gray,Girls,Boys,41
pooled,G2,gray,Girls,Girls,74
pooled,G2,gray,Girls,Men,31
pooled,G2,gray,Girls,Unisex,12
pooled,G2,gray,Girls,Women,58
pooled,G2,gray,Men,Boys,33
pooled,G2,gray,Men,Girls,7
pooled,G2,gray,Men,Men,6799
pooled,G2,gray,Men,Unisex,85
pooled,G2,gray,Men,Women,178
pooled,G2,gray,Unisex,Boys,7
