alternative,role,final_eligible,reason,source_manifest,source_manifest_sha256
B0 majority,comparison_anchor,False,Measures imbalance only; it ignores image content and has zero Spring F1.,results/evidence/task2/b0_majority/manifest.json,07da81144fe37bdd9624f37b075b38ec4ea526e7f3da9748c0459f4f152e2d11
B1 HOG + HSV LinearSVC,serious_classical_baseline,False,"Useful fixed features, but it trails learned models and scores are uncalibrated.",results/evidence/task2/b1_hog_hsv_svm/manifest.json,039b619327986a8e72a89f0193cc3e84fe973ea13240ebb41b62065f24d7d46b
C3 MobileNetV3-Small,screened_deep_family,True,Rejected after G1 because its equal-budget macro-F1 ranked third.,results/evidence/task2/g1_family_screen/manifest.json,ded0aae82b26ca992ce6f4f580a300401eb2a2c0b712875735d613e67c63af16
P1 128x96 input,input_size_ablation,True,"Rejected: P1 minus P0 macro-F1 was -0.001787, below the +0.005 gate.",results/evidence/task2/g2_input_size_ablation/manifest.json,eecb2026f82a51e932e3ece2545d790fcf20be7ffaa33c3c512b3e71768ddac1
A1 colour-jitter augmentation,augmentation_ablation,True,Rejected: A1 minus A0 macro-F1 was -0.010438.,results/evidence/task2/g2_augmentation_ablation/manifest.json,0a077254c445d15f87ceb7459ce034795a4f05ed551e8cab4b75e93460fadd38
Unselected compact tuning settings,learning_rate_weight_decay_ablation,True,C1 retained T1; C2 retained T0 because no alternative passed +0.003.,results/evidence/task2/g2_compact_tuning/manifest.json,0bac681541d3b6a38d67dae531171cdac01b03159dc57a1f2f271e6cce27c280
G3 C1-T1 SmallCNN,full_budget_finalist,True,It was only a provisional near-tie leader and did not remain the winner after the declared G4-G7 evidence chain.,results/evidence/task2/g3_full_budget/manifest.json,8f9b7d7a27b03244a48d60c3fddb62b44786bcca2d0ca4d10224262860876bb7
I1 effective-number class balancing,minority_class_intervention,True,Rejected: macro-F1 delta -0.036191; the Spring and other-class guards also failed.,results/evidence/task2/i1_class_balance/manifest.json,1320a55b6431d300ac92af3fce71465f34f5ecc0d376f6352801d016b6005fda
I2 ArticleType auxiliary lambda 0.1,multitask_weight_ablation,True,It passed I2 gates but lambda 0.3 had the higher pooled Season macro-F1.,results/evidence/task2/i2_multitask/manifest.json,163cee56e797f312d27dce52de1e97cf9ed1b7cc1eb655796f17ce441f9158de
P0S standard-stem scratch ResNet18,benchmark_control,False,Benchmark-only control; it was never allowed into final selection.,results/evidence/task2/pretraining_benchmark/manifest.json,5a19c41a5746ffec3c07e6721bc48caa98771b07aee366a05c4dc7f23e1b917c
P* pretrained standard-stem ResNet18,pretraining_benchmark,False,Pretrained benchmark-only model; assignment final models must be scratch.,results/evidence/task2/pretraining_benchmark/manifest.json,5a19c41a5746ffec3c07e6721bc48caa98771b07aee366a05c4dc7f23e1b917c
C2 small-stem ResNet18,final_reference,True,"I2 led primary macro-F1 by +0.017651, kept both grouped intervals above zero, and was smaller and faster.",results/evidence/task2/paired_bootstrap/manifest.json,dbef8dc221cd937f81dc661e5869d5f28471f07656030d3ae1a5dbe042800d6e
