fold,condition,truth,prediction,n
pooled,clean,Boys,Boys,181
pooled,clean,Boys,Girls,16
pooled,clean,Boys,Men,43
pooled,clean,Boys,Unisex,16
pooled,clean,Boys,Women,18
pooled,clean,Girls,Boys,25
pooled,clean,Girls,Girls,127
pooled,clean,Girls,Men,7
pooled,clean,Girls,Unisex,14
pooled,clean,Girls,Women,43
pooled,clean,Men,Boys,38
pooled,clean,Men,Girls,10
pooled,clean,Men,Men,6727
pooled,clean,Men,Unisex,93
pooled,clean,Men,Women,234
pooled,clean,Unisex,Boys,13
pooled,clean,Unisex,Girls,7
pooled,clean,Unisex,Men,194
pooled,clean,Unisex,Unisex,376
pooled,clean,Unisex,Women,118
pooled,clean,Women,Boys,7
pooled,clean,Women,Girls,35
pooled,clean,Women,Men,321
pooled,clean,Women,Unisex,47
pooled,clean,Women,Women,4400
pooled,gray,Boys,Boys,169
pooled,gray,Boys,Girls,15
pooled,gray,Boys,Men,60
pooled,gray,Boys,Unisex,9
pooled,gray,Boys,Women,21
pooled,gray,Girls,Boys,31
pooled,gray,Girls,Girls,104
pooled,gray,Girls,Men,11
pooled,gray,Girls,Unisex,10
pooled,gray,Girls,Women,60
pooled,gray,Men,Boys,32
pooled,gray,Men,Girls,5
pooled,gray,Men,Men,6776
pooled,gray,Men,Unisex,78
pooled,gray,Men,Women,211
pooled,gray,Unisex,Boys,7
pooled,gray,Unisex,Girls,3
pooled,gray,Unisex,Men,212
pooled,gray,Unisex,Unisex,383
pooled,gray,Unisex,Women,103
pooled,gray,Women,Boys,9
pooled,gray,Women,Girls,36
pooled,gray,Women,Men,433
pooled,gray,Women,Unisex,42
pooled,gray,Women,Women,4290
0,clean,Boys,Boys,85
0,clean,Boys,Girls,9
0,clean,Boys,Men,22
0,clean,Boys,Unisex,9
0,clean,Boys,Women,11
0,clean,Girls,Boys,13
0,clean,Girls,Girls,62
0,clean,Girls,Men,5
0,clean,Girls,Unisex,5
0,clean,Girls,Women,22
0,clean,Men,Boys,18
0,clean,Men,Girls,4
0,clean,Men,Men,3362
0,clean,Men,Unisex,33
0,clean,Men,Women,133
0,clean,Unisex,Boys,7
0,clean,Unisex,Girls,2
0,clean,Unisex,Men,103
0,clean,Unisex,Unisex,186
0,clean,Unisex,Women,57
0,clean,Women,Boys,5
0,clean,Women,Girls,20
0,clean,Women,Men,150
0,clean,Women,Unisex,20
0,clean,Women,Women,2210
0,gray,Boys,Boys,80
0,gray,Boys,Girls,8
0,gray,Boys,Men,33
0,gray,Boys,Unisex,4
0,gray,Boys,Women,11
0,gray,Girls,Boys,21
0,gray,Girls,Girls,38
0,gray,Girls,Men,9
0,gray,Girls,Unisex,5
0,gray,Girls,Women,34
0,gray,Men,Boys,11
0,gray,Men,Girls,3
0,gray,Men,Men,3383
0,gray,Men,Unisex,28
0,gray,Men,Women,125
0,gray,Unisex,Boys,3
0,gray,Unisex,Girls,2
0,gray,Unisex,Men,114
0,gray,Unisex,Unisex,187
0,gray,Unisex,Women,49
0,gray,Women,Boys,5
0,gray,Women,Girls,18
0,gray,Women,Men,207
0,gray,Women,Unisex,16
0,gray,Women,Women,2159
4,clean,Boys,Boys,96
4,clean,Boys,Girls,7
4,clean,Boys,Men,21
4,clean,Boys,Unisex,7
4,clean,Boys,Women,7
4,clean,Girls,Boys,12
4,clean,Girls,Girls,65
4,clean,Girls,Men,2
4,clean,Girls,Unisex,9
4,clean,Girls,Women,21
4,clean,Men,Boys,20
4,clean,Men,Girls,6
4,clean,Men,Men,3365
4,clean,Men,Unisex,60
4,clean,Men,Women,101
4,clean,Unisex,Boys,6
4,clean,Unisex,Girls,5
4,clean,Unisex,Men,91
4,clean,Unisex,Unisex,190
4,clean,Unisex,Women,61
4,clean,Women,Boys,2
4,clean,Women,Girls,15
4,clean,Women,Men,171
4,clean,Women,Unisex,27
4,clean,Women,Women,2190
4,gray,Boys,Boys,89
4,gray,Boys,Girls,7
4,gray,Boys,Men,27
4,gray,Boys,Unisex,5
4,gray,Boys,Women,10
4,gray,Girls,Boys,10
4,gray,Girls,Girls,66
4,gray,Girls,Men,2
4,gray,Girls,Unisex,5
4,gray,Girls,Women,26
4,gray,Men,Boys,21
4,gray,Men,Girls,2
4,gray,Men,Men,3393
4,gray,Men,Unisex,50
4,gray,Men,Women,86
4,gray,Unisex,Boys,4
4,gray,Unisex,Girls,1
4,gray,Unisex,Men,98
4,gray,Unisex,Unisex,196
4,gray,Unisex,Women,54
4,gray,Women,Boys,4
4,gray,Women,Girls,18
4,gray,Women,Men,226
4,gray,Women,Unisex,26
4,gray,Women,Women,2131
